Entry Number	Album Type	Album Name	Artist	Featured Artists	Song Name	Genre	Release Year	Preview URL
242	album	O My Heart	Mother Mother	None	Ghosting	indie pop	2008	https://p.scdn.co/mp3-preview/519e8b6596616ca370b6d25a3a9a5fccb1876e38
243	album	Moving Walls	Matthew Good	None	Selling You My Heart	canadian indie	2020	https://p.scdn.co/mp3-preview/4d752fe705d2f47a2cd0c0618d9948a7d2609d34
244	album	The Spell	Cellar Darling	None	The Spell	folk metal	2019	https://p.scdn.co/mp3-preview/c7117d81cea13ea6627fdd552dab3f354642d891
245	album	Dead Trees	From First To Last	None	I Don't Wanna Live In The Real World	pop punk	2015	https://p.scdn.co/mp3-preview/06e4cc87ee4413baefec5b2f52bbe756ef956fa5
246	album	Dead Trees	From First To Last	None	2 11	pop punk	2015	https://p.scdn.co/mp3-preview/4955a0644c822967552fbab103905dfbaee0615e
247	album	Thoma	Thoma	None	Moca	None	2017	https://p.scdn.co/mp3-preview/402424e1ed02dcc2f9641e8ea8e5efc4f582a9d6
248	single	Degenerates	A Day To Remember	None	Degenerates	pop punk	2019	https://p.scdn.co/mp3-preview/6c137edb6ebe31af1fe00d053cc7b4588bc6178a
249	album	Instant Gratification	Dance Gavin Dance	None	We Own The Night	pop punk	2015	https://p.scdn.co/mp3-preview/f7c8928f6ef1e80504f7e028481c66a43c3c0435
250	album	Hyperreal	Makari	None	Transient	pop punk	2018	https://p.scdn.co/mp3-preview/3fd301ce5ac95cc101dec58e16c2044de76d80d0
251	album	Beautiful Oblivion	Issues	None	Drink About It	pop punk	2019	https://p.scdn.co/mp3-preview/4214cd33f9c3a0cd3cf3937e82fc063aee5c1e2c
252	album	Deleted Scenes From The Cutting Room Floor	Caro Emerald	None	A Night Like This	electro swing	2010	https://p.scdn.co/mp3-preview/beb74b31a9ddca640b093980ca9ef7bd5678a09c
253	single	Resentment	Kesha	Sturgill Simpson, Brian Wilson, Wrabel	Resentment	dance pop	2019	https://p.scdn.co/mp3-preview/2340f5e1ce6a0c46d039a8c5dd53a20c6ac2ce09
254	single	On A Roll (Remixes)	Ashley O	Junior Vasquez	On A Roll	None	2019	https://p.scdn.co/mp3-preview/677dc265c174fffb06129b25a2b5a74c9f8718e5
255	album	This Album Does Not Exist	DREAMERS	None	Sweet Disaster	indie pop	2016	https://p.scdn.co/mp3-preview/0825aaeb6d7efbd32072df41b37d0a5f63b60ba2
256	album	Days Are Gone	HAIM	None	The Wire	pop rock	2013	https://p.scdn.co/mp3-preview/478cc3176c98655885e16fa578cc77b04c20bdad
